condition,distortion_type,level,mean_snr_db,class_name,map50,map50_95
clean,none,0,,all,0.757,0.5811
clean,none,0,,person,0.772,0.4861
clean,none,0,,bicycle,0.995,0.8955
clean,none,0,,car,0.3888,0.2424
clean,none,0,,motorcycle,0.995,0.6975
clean,none,0,,airplane,0.995,0.8955
clean,none,0,,train,0.995,0.995
clean,none,0,,truck,0.5661,0.448
clean,none,0,,stop sign,0.995,0.597
clean,none,0,,bench,0.726,0.4279
clean,none,0,,bird,0.774,0.5048
clean,none,0,,dog,0.9125,0.7723
clean,none,0,,horse,0.995,0.7455
clean,none,0,,elephant,0.6633,0.3812
clean,none,0,,zebra,0.995,0.995
clean,none,0,,giraffe,0.9506,0.7306
clean,none,0,,umbrella,0.4585,0.3971
clean,none,0,,handbag,0.6617,0.1822
clean,none,0,,skateboard,0.335,0.201
clean,none,0,,bottle,0.3317,0.2985
clean,none,0,,cup,0.3311,0.2147
clean,none,0,,fork,0.5273,0.4649
clean,none,0,,knife,0.8883,0.6212
clean,none,0,,spoon,0.995,0.8955
clean,none,0,,bowl,0.995,0.7524
clean,none,0,,banana,0.1244,0.0379
clean,none,0,,sandwich,0.3317,0.3317
clean,none,0,,orange,0.995,0.6215
clean,none,0,,broccoli,0.995,0.995
clean,none,0,,pizza,0.995,0.796
clean,none,0,,cake,0.9125,0.7885
clean,none,0,,chair,0.5655,0.3145
clean,none,0,,potted plant,0.7539,0.5722
clean,none,0,,bed,0.995,0.796
clean,none,0,,dining table,0.5214,0.3492
clean,none,0,,microwave,0.995,0.8955
clean,none,0,,oven,0.495,0.495
clean,none,0,,sink,0.995,0.6965
clean,none,0,,refrigerator,0.995,0.6965
clean,none,0,,book,0.945,0.5131
clean,none,0,,clock,0.9125,0.7716
clean,none,0,,vase,0.8283,0.795
clean,none,0,,teddy bear,0.199,0.0995
distorted,gaussian_noise,1,22.1,all,0.6192,0.4607
distorted,gaussian_noise,1,22.1,person,0.6653,0.3861
distorted,gaussian_noise,1,22.1,bicycle,0.4975,0.4975
distorted,gaussian_noise,1,22.1,car,0.3332,0.2342
distorted,gaussian_noise,1,22.1,motorcycle,0.995,0.5955
distorted,gaussian_noise,1,22.1,airplane,0.995,0.8955
distorted,gaussian_noise,1,22.1,train,0.995,0.8955
distorted,gaussian_noise,1,22.1,truck,0.4314,0.3555
distorted,gaussian_noise,1,22.1,stop sign,0.995,0.796
distorted,gaussian_noise,1,22.1,bench,0.4014,0.2103
distorted,gaussian_noise,1,22.1,bird,0.4678,0.2494
distorted,gaussian_noise,1,22.1,dog,0.654,0.5484
distorted,gaussian_noise,1,22.1,horse,0.995,0.6455
distorted,gaussian_noise,1,22.1,elephant,0.695,0.4646
distorted,gaussian_noise,1,22.1,zebra,0.995,0.995
distorted,gaussian_noise,1,22.1,giraffe,0.8097,0.5834
distorted,gaussian_noise,1,22.1,umbrella,0.27,0.2525
distorted,gaussian_noise,1,22.1,handbag,0.2761,0.1596
distorted,gaussian_noise,1,22.1,skateboard,0.335,0.1507
distorted,gaussian_noise,1,22.1,bottle,0.3317,0.3317
distorted,gaussian_noise,1,22.1,cup,0.3169,0.1751
distorted,gaussian_noise,1,22.1,fork,0.5476,0.4649
distorted,gaussian_noise,1,22.1,knife,0.7978,0.6135
distorted,gaussian_noise,1,22.1,spoon,0.995,0.8955
distorted,gaussian_noise,1,22.1,bowl,0.945,0.7054
distorted,gaussian_noise,1,22.1,banana,0.1421,0.0569
distorted,gaussian_noise,1,22.1,sandwich,0.1421,0.1137
distorted,gaussian_noise,1,22.1,orange,0.7629,0.4528
distorted,gaussian_noise,1,22.1,broccoli,0.995,0.995
distorted,gaussian_noise,1,22.1,pizza,0.4975,0.398
distorted,gaussian_noise,1,22.1,cake,0.863,0.7143
distorted,gaussian_noise,1,22.1,chair,0.2223,0.1642
distorted,gaussian_noise,1,22.1,potted plant,0.6635,0.4547
distorted,gaussian_noise,1,22.1,bed,0.995,0.597
distorted,gaussian_noise,1,22.1,dining table,0.5244,0.3253
distorted,gaussian_noise,1,22.1,microwave,0.3317,0.2985
distorted,gaussian_noise,1,22.1,oven,0.2475,0.1898
distorted,gaussian_noise,1,22.1,sink,0.4975,0.2101
distorted,gaussian_noise,1,22.1,refrigerator,0.995,0.6965
distorted,gaussian_noise,1,22.1,book,0.895,0.4007
distorted,gaussian_noise,1,22.1,clock,0.83,0.5596
distorted,gaussian_noise,1,22.1,vase,0.6633,0.6217
distorted,gaussian_noise,1,22.1,teddy bear,0.0,0.0
distorted,gaussian_noise,2,16.6,all,0.446,0.3127
distorted,gaussian_noise,2,16.6,person,0.4063,0.2458
distorted,gaussian_noise,2,16.6,bicycle,0.995,0.8955
distorted,gaussian_noise,2,16.6,car,0.2828,0.1545
