epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.353,1.64189,2.75269,1.65395,0.633,0.35749,0.44153,0.31994,1.57271,2.28562,1.46342,3.88403e-05,3.88403e-05,3.88403e-05
2,362.787,1.42577,1.93298,1.49693,0.51701,0.35782,0.41006,0.29298,1.61524,2.50783,1.48871,7.07348e-05,7.07348e-05,7.07348e-05
3,535.122,1.2972,1.60159,1.39298,0.52769,0.30478,0.35119,0.24789,1.62762,2.74226,1.49329,9.47752e-05,9.47752e-05,9.47752e-05
4,729.289,1.23253,1.28576,1.32614,0.51777,0.28673,0.33316,0.22961,1.64021,2.75309,1.50692,8.3657e-05,8.3657e-05,8.3657e-05
5,977.652,1.17525,1.12904,1.27147,0.58277,0.29908,0.3268,0.22451,1.68516,2.81491,1.52267,7.1876e-05,7.1876e-05,7.1876e-05
6,1213.52,1.10564,1.04741,1.23271,0.62645,0.26473,0.31119,0.21012,1.73358,2.93018,1.56766,6.0095e-05,6.0095e-05,6.0095e-05
7,1420.27,1.09222,0.97627,1.21093,0.64907,0.23244,0.30274,0.20414,1.72982,3.00115,1.58647,4.8314e-05,4.8314e-05,4.8314e-05
8,1589.55,1.04691,0.94969,1.2022,0.60867,0.26058,0.29041,0.19344,1.73253,3.03631,1.59803,3.6533e-05,3.6533e-05,3.6533e-05
9,1743.64,1.03029,0.89424,1.18208,0.58673,0.26585,0.28496,0.18603,1.74179,3.06148,1.59637,2.4752e-05,2.4752e-05,2.4752e-05
10,1919.36,0.99873,0.8737,1.15235,0.5984,0.24464,0.28252,0.18256,1.76534,3.09222,1.60576,1.2971e-05,1.2971e-05,1.2971e-05
